ADDRESS,ZIPCODE,PRICE,PredictedPrice_CV,PredictedPrice_FT,Residual_CV,Residual_FT
560 Summit River Dr,32712,459000,479250.86,466823.08,-20251.0,-7823.0
5620 Paddock Fence Ln,32712,400490,395594.5,398632.5,4896.0,1858.0
5638 Paddock Fence Ln,32712,389990,401762.5,394895.0,-11772.0,-4905.0
570 Willet Ave,32703,427500,526042.6,458570.2,-98543.0,-31070.0
5808 Galloping Dr,32712,448990,441298.2,445792.4,7692.0,3198.0
581 Mary Paula Dr,32712,408000,403281.65,408338.95,4718.0,-339.0
5816 Galloping Dr,32712,438990,440825.3,439914.56,-1835.0,-925.0
5824 Galloping Dr,32712,443990,438353.7,441534.56,5636.0,2455.0
5831 Galloping Dr,32712,395990,406326.75,399315.0,-10337.0,-3325.0
5836 Galloping Dr,32712,438990,434086.08,437694.7,4904.0,1295.0
5839 Galloping Dr,32712,433990,472299.92,454517.28,-38310.0,-20527.0
5847 Galloping Dr,32712,397990,404012.7,399019.9,-6023.0,-1030.0
5863 Galloping Dr,32712,395990,399576.41,397065.0,-3586.0,-1075.0
5891 Galloping Dr,32712,405990,406423.4,407913.0,-433.0,-1923.0
601 Dominish Estates Dr,32712,419900,414057.28,418030.28,5843.0,1870.0
607 Golden Dawn Ln,32712,655000,546353.55,619017.42,108646.0,35983.0
6085 Elm Samaras Ln,32712,466000,497025.43,472289.9,-31025.0,-6290.0
6115 Linneal Beach Dr,32703,1275000,901677.3,1148433.0,373323.0,126567.0
6133 Elm Samaras Ln,32712,475000,477759.44,474405.62,-2759.0,594.0
6331 Lake Lerla Dr,32712,300000,330993.99,312409.99,-30994.0,-12410.0
6340 Oren Ct,32712,280000,337511.2,298510.0,-57511.0,-18510.0
644 Maya Susan Loop,32712,355000,387366.96,368531.68,-32367.0,-13532.0
650 Creeping Fig St,32703,812160,599720.72,778737.68,212439.0,33422.0
660 Whitetail Loop,32703,347900,354639.26,351719.2,-6739.0,-3819.0
674 Creeping Fig St,32703,739990,825819.28,754532.78,-85829.0,-14543.0
70 Jett Loop,32712,365000,393813.6,370943.86,-28814.0,-5944.0
701 Bonsai St,32703,422000,422935.62,421336.78,-936.0,663.0
729 Grand Hilltop Dr,32703,535000,617534.14,550361.46,-82534.0,-15361.0
750 N Lake Ave,32712,305000,339921.5,317415.5,-34922.0,-12416.0
763 Via Milano,32712,383000,389792.86,389409.4,-6793.0,-6409.0
808 E Orange St,32703,399900,391057.52,399690.0,8842.0,210.0
8100 Stone Rd,32703,485000,362028.95,431068.89,122971.0,53931.0
817 Largo Ct,32703,350000,336532.17,341074.89,13468.0,8925.0
822 Swaying Palm Dr,32712,600000,519015.68,573417.53,80984.0,26582.0
842 Palm Oak Dr,32712,650000,530234.0,606329.82,119766.0,43670.0
856 LA Gran Via Ln,32703,405000,413279.8,414018.86,-8280.0,-9019.0
860 Stonechapel Ct,32712,307000,323309.45,314902.0,-16309.0,-7902.0
896 Rock Creek St,32712,550000,646275.4,584059.75,-96275.0,-34060.0
900 Khingan Ct,32712,404000,403070.65,403524.75,929.0,475.0
905 Suwannee Dr,32703,345000,357949.5,362625.0,-12950.0,-17625.0
907 Ridge Spring Ct,32712,593000,523447.85,569680.1,69552.0,23320.0
908 Hilly Bend Dr,32712,333000,492033.71,389397.84,-159034.0,-56398.0
933 Southern Oak Ln,32712,660000,604131.4,632527.1,55869.0,27473.0
9744 Cub Cv,32703,539000,757045.55,608578.09,-218046.0,-69578.0
